#############German_annexation_decisions_title_and_descriptions##############;;;;;;;;;;;;;x,,,,
german_lapse_1_title;Force Saxony to kneel;;;;;;;;;;;;;x,,,,
german_lapse_2_title;Force Hanover to kneel;;;;;;;;;;;;;x,,,,
german_lapse_3_title;Force Hamburg to kneel;;;;;;;;;;;;;x,,,,
german_lapse_4_title;Force Lübeck to kneel;;;;;;;;;;;;;x,,,,
german_lapse_5_title;Force Frankfurt am Main to kneel;;;;;;;;;;;;;x,,,,
german_lapse_6_title;Force Mecklenburg to kneel;;;;;;;;;;;;;x,,,,
german_lapse_7_title;Force Lippe-Detmold to kneel;;;;;;;;;;;;;x,,,,
german_lapse_8_title;Force Holstein to kneel;;;;;;;;;;;;;x,,,,
german_lapse_9_title;Force Anhalt to kneel;;;;;;;;;;;;;x,,,,
german_lapse_10_title;Force Oldenburg to kneel;;;;;;;;;;;;;x,,,,
german_lapse_11_title;Force Saxe-Meiningen to kneel;;;;;;;;;;;;;x,,,,
german_lapse_12_title;Force Bremen to kneel;;;;;;;;;;;;;x,,,,
german_lapse_13_title;Force Saxe-Coburg-Gotha to kneel;;;;;;;;;;;;;x,,,,
german_lapse_14_title;Force Saxe-Weimar to kneel;;;;;;;;;;;;;x,,,,
german_lapse_15_title;Force Nassau to kneel;;;;;;;;;;;;;x,,,,
german_lapse_16_title;Force Hesse-Kassel to kneel;;;;;;;;;;;;;x,,,,
german_lapse_17_title;Force Hesse-Darmstadt to kneel;;;;;;;;;;;;;x,,,,
german_lapse_1_desc;Instantly annex Saxony for the cost of 10 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_2_desc;Instantly annex Hanover for the cost of 10 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_3_desc;Instantly annex Hamburg for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_4_desc;Instantly annex Lübeck for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_5_desc;Instantly annex Frankfurt am Main for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_6_desc;Instantly annex Mecklenburg for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_7_desc;Instantly annex Lippe-Detmold for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_8_desc;Instantly annex Holstein for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_9_desc;Instantly annex Anhalt for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_10_desc;Instantly annex Oldenburg for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_11_desc;Instantly annex Saxe-Meininge for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_12_desc;Instantly annex Bremen for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_13_desc;Instantly annex Saxe-Coburg-Gotha for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_14_desc;Instantly annex Saxe-Weimar for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_15_desc;Instantly annex Nassau for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_16_desc;Instantly annex Hesse-Kassel for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
german_lapse_17_desc;Instantly annex Hesse-Darmstadt for the cost of 5 Infamy;;;;;;;;;;;;;x,,,,
#############Kick_player_decision##############;;;;;;;;;;;;;x,,,,
Kick_player_title;Kick Player;;;;;;;;;;;;;x,,,,
Kick_player_desc;Kicks every Player not in an alliance with the host nation!;;;;;;;;;;;;;x,,,,
#############Unsiege_country_decisions##############;;;;;;;;;;;;;x,,,,
