;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC9449940;Genesis 1 verse 1 In the beninging In the, in the benin... In the beninging Yah In the, in, in In the (listen properly) in, in the beningin Yeah In, in, in the beninging;x
EVTDESC7637640;The Sicilian sulphur mines have been and continue to be the biggest sources of sulphur production in Europe, this has led to us practically holding a monopoly on the European sulphur market.;x
EVTDESC7637641;The Frasch Process and it's adoption by competing industries has led to our monopoly collapsing and the competitiveness of our mines to drop drastically.;x
EVTDESC144400;Our Horde has ruled over vast lands and collected tribute from it's people for generations now, granting us vast wealth to use in our wars;x
EVTNAME183552301;Ottokar the VIIIth's Triumph;x
EVTDESC183552301;After a grueling and bloody conflict, the Bohemians are victorious over the belligerent Poles and any dream of Polish owned Bohemia has been shattered. Long live King Ottokar!;x
EVTNAME183552303;The People Demand Abdication!;x
EVTDESC183552303;The already unpopular war in Bohemia has turned into an outright disaster for King Wladislaus the IVth. In an unprecedented move from the General Assembly, they have voted that the King abdicate after the failure of the Bohemian campaign. This is a highly treasonous vote, but with an almost unanimous result it is near suicidal to pursue them as criminals.;x
EVTNAME188801;The States General of Poland have convened;x
EVTDESC188801;After the abdication of Wladislaus the IVth, the only heir to the Polish crown is Stanislaus the IIIrd a teenager which will need a regent to take care of affairs and mentor him while his father lives in exile. The States General have thus been convened to assess what candidates would be best fitted to act as regent until Stanislaus' coming of age. The 3 candidates proposed by the States General are : Friedrich Kmiecik the current Duke of Silesia, Sobieski a very influencial Nobleman and General who had been often thwarted by Wladislaus during the Bohemian war, finally there is Kazimierz Pocisk, former general in the Polish army originally exiled by Wladislaus for training the Cossacks unsanctioned by any diplomatic pact, although his exile was never lifted, Wladislaus was the main driving force behind the exile and he has returned seeking to plead the Ruthenian cause to the Polish elites. The vote is up to the general assembly as to who shall lead Poland until Stanislaus ascends to the throne.;x
EVTNAME192801;Wladislaus' Campaign is successful!;x
EVTDESC192801;After many centuries of tension over Bohemia, the Polish crown has once and for all established hegemony over Bohemia. This hasn't come easy though and will require quite some time for the relations with the Czechs to improve.;x
EVTNAME192803;The Unification of Jagiellonia;x
