Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;
HAS_GOODS;produces ;;;;;;;;;;;;;
shinto;Shinto;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
HAS_SIEGE;Under Siege;;;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
arab_revolt_ended;Arab Revolt Ended;;;;;;;;;;;;;
newly_released_nation;Newly-Formed Nation;;;;;;;;;;;;;
crop_rotation;Crop Rotation;;;;;;;;;;;;;
crop_rotation_desc;The practice of crop rotation is now being used in local farms.;;;;;;;;;;;;;
phosphates;Phosphates;;;;;;;;;;;;;
phosphates_desc;Phosphates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
nitrates;Nitrates;;;;;;;;;;;;;
nitrates_desc;Nitrates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
will_support_entre_rios;Pledged Support to Entre Rios;;;;;;;;;;;;;
shaft_mine;Shaft Mining;;;;;;;;;;;;;
shaft_mine_desc;Deep shaft mining has been developed in the province.;;;;;;;;;;;;;
pit_mine;Pit Mining;;;;;;;;;;;;;
pit_mine_desc;Pit mining has been developed in the province.;;;;;;;;;;;;;
strip_mine;Strip Mining;;;;;;;;;;;;;
strip_mine_desc;Strip mining has been developed in the province.;;;;;;;;;;;;;
tax_reforms;National Tax Reforms;;;;;;;;;;;;;
tax_reforms_desc;Recent reforms to tax laws have increased our tax efficiency… at least until those laws are repealed or loopholes found to evade them.;;;;;;;;;;;;;
intense_farming;Intensive Farming;;;;;;;;;;;;;
intense_farming_desc;Plantations have been started in this province to more efficiently and intensively farm it-- even though this comes with a risk of exhausting the farmland.;;;;;;;;;;;;;
exhausted_land;Exhausted Farmland;;;;;;;;;;;;;
exhausted_land_desc;The intensive farming of this province's farmland has exhausted the soil. Production will be low until the land recovers.;;;;;;;;;;;;;
irrigration_network;Irrigation Network;;;;;;;;;;;;;
irrigration_network_desc;An irrigation network has been built here, allowing the desert to be farmed more effectively.;;;;;;;;;;;;;
population_trend;Population Growth Trend;;;;;;;;;;;;;
population_trend_desc;Our nation has recently experienced a change in our population growth. It will likely remain stable for some time to come.;;;;;;;;;;;;;
point_five_children;Growth Rate: 0.5 Children;;;;;;;;;;;;;
point_five_children_desc;Our nation's growth rate is abysmal-- roughly equivalent to one child for every four healthy adults.;;;;;;;;;;;;;
one_child;Growth Rate: 1 Child;;;;;;;;;;;;;
one_child_desc;Our nation's growth rate is very low-- roughly equivalent to one child for every two healthy adults.;;;;;;;;;;;;;
one_point_five_children;Growth Rate: 1.5 Children;;;;;;;;;;;;;
one_point_five_children_desc;Our nation's growth rate is low-- roughly equivalent to three children for every four healthy adults.;;;;;;;;;;;;;
two_children;Growth Rate: 2 Children;;;;;;;;;;;;;
two_children_desc;Our nation's growth rate is stable-- roughly equivalent to two children for every two healthy adults.;;;;;;;;;;;;;
two_point_five_children;Growth Rate: 2.5 Children;;;;;;;;;;;;;
two_point_five_children_desc;Our nation's growth rate is above average-- roughly equivalent to five children for every four healthy adults.;;;;;;;;;;;;;
three_children;Growth Rate: 3 Children;;;;;;;;;;;;;
three_children_desc;Our nation's growth rate is high-- roughly equivalent to three children for every two healthy adults.;;;;;;;;;;;;;
four_children;Growth Rate: 4 Children;;;;;;;;;;;;;
four_children_desc;Our nation's growth rate is very high-- roughly equivalent to four children for every two healthy adults.;;;;;;;;;;;;;
bleeding;Bleeding State;;;;;;;;;;;;;
bleeding_desc;Caught between the forces of abolitionism and those supporting slavery, this state is in the throes of violence as the locals attempt to sway the entire populace one way or the other.;;;;;;;;;;;;;
submarine;Submarine;;;;;;;;;;;;;
