;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GC_NAME;Schizo Campaign;x
GC_DESC;You forgot your pills again! You just woke up in a strange world where Hyperborean Byzantium is real and the Mongol empire did a large amount of trolling, Poland is very epic and the Italians colonized the Americas.;x
post_napoleonic_thought;Post-Revolutionary Thought;x
post_napoleonic_army_doctrine;Post-Revolutionary Army Doctrine;x
mongolian_dependency;Mongolian Tribute State;x
mongolian_dependency_ruler;Prince;x
mongolian_tech_school;Jochid School of Thought;x
no_personality;No bonus;;;;;;;;;;;
active_p;No bonus;;;;;;;;;;;
au_fait;§G+3 Attack;;;;;;;;;;;
audacious;§G+2 Attack §G+2 Defense;;;;;;;;;;;
able;No bonus;;;;;;;;;;;
aweless;No bonus;;;;;;;;;;;
aggressive;§G+1 Attack;;;;;;;;;;;
arrogant;No bonus;;;;;;;;;;;
balanced_p;§G+1 Defense;;;;;;;;;;;
bigoted;No bonus;;;;;;;;;;;
brilliant;No bonus;;;;;;;;;;;
brutish;§G+1 Attack;;;;;;;;;;;
bold;§G+1 Attack;;;;;;;;;;;
brash;§G+ Attack;;;;;;;;;;;
ballsy;No bonus;;;;;;;;;;;
bastard;§R-1 Defense;;;;;;;;;;;
cautious;§G+3 Defense;;;;;;;;;;;
coward;No bonus;;;;;;;;;;;
chickenhearted;§R-2 Attack;;;;;;;;;;;
craven;No bonus;;;;;;;;;;;
competent;No bonus;;;;;;;;;;;
clever;No bonus;;;;;;;;;;;
careless;No bonus;;;;;;;;;;;
calm;§R-1 Attack;;;;;;;;;;;
coolminded;§G+2 Defense;;;;;;;;;;;
careful;No bonus;;;;;;;;;;;
choleric;§G+1 Attack;;;;;;;;;;;
charismatic;No bonus;;;;;;;;;;;
chivalrous;§G+2 Attack;;;;;;;;;;;
confident;No bonus;;;;;;;;;;;
doughty;No bonus;;;;;;;;;;;
defiant;§G+3 Defense;;;;;;;;;;;
disciplined;§G+2 Attack;;;;;;;;;;;
dauntless;No bonus;;;;;;;;;;;
daring;§G+3 Attack;;;;;;;;;;;
disorderly;No bonus;;;;;;;;;;;
decisive;No bonus;;;;;;;;;;;;;
dumb;No bonus;;;;;;;;;;;;;
