;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#############################################;;;;;;;;;;;;;;x
#Additional CBs;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
safeguard_bohemia;Bohemian Unity;x
safeguard_bohemia_desc;We and the Poles have been in the constant state of conflict over the lands of Bohemia and Moravia, using an old claim of the Jagiellon's dynasty to justify this invasion. We must drive them back and establish a firm hold on our territories!;x
safeguard_bohemia_setup;Force Poland to relinquish their claims over Bohemia;x
safeguard_bohemia_short;Force Poland to relinquish their claims over Bohemia;x
install_jagiellon;Bring Bohemia into the fold;x
install_jagiellon;Our country has a history of rulership over Bohemia, we have had many claimants of our dynasty take control of the territories of Bohemia and Moravia. We must push once last time to drive out the Premyslid dynasty from Bohemia!;x
install_jagiellon_setup;Enforce our rule over Bohemia;x
install_jagiellon_short;Enforce our rule over Bohemia;x
conquest_low;Minor Conquest;;;;;;;;;;;;;
conquest_low_desc;Conquer $RECIPIENT$;;;;;;;;;;;;;
conquest_low_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_low_short;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_tiny;Tiny Conquest;;;;;;;;;;;;;
conquest_tiny_desc;Conquer $RECIPIENT$;;;;;;;;;;;;;
conquest_tiny_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_tiny_short;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_miniscule;Miniscule Conquest;;;;;;;;;;;;;
conquest_miniscule_desc;Conquer $RECIPIENT$;;;;;;;;;;;;;
conquest_miniscule_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_miniscule_short;Annex $RECIPIENT$;;;;;;;;;;;;;
negotiated_transfer_cb;Negotiated Transfer;;;;;;;;;;;;;
negotiated_transfer_cb_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;;
negotiated_transfer_cb_short;$RECIPIENT$ transfer $STATE$ to us;;;;;;;;;;;;;
negotiated_transfer_cb_setup;Transfer $STATE$ from $RECIPIENT$ to our country;;;;;;;;;;;;;
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
mongol_unification_cb_desc;Aquire an enemy state;;;;;;;;;;;;;
mongol_unification_cb_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
mongol_unification_cb_short;Acquire $STATE$;;;;;;;;;;;;;
mongol_unification_cb;Mongol Unification;;;;;;;;;;;;;
imperial_restoration_cb;Imperial Reconquest;x
imperial_restoration_cb_short;Acquire $STATE$ from $RECIPIENT$;x
imperial_restoration_cb_desc;This casus-belli will conquer a state, usable on people with Byzantine cores.;x
imperial_restoration_cb_setup;Acquire $STATE$ from $RECIPIENT$.;x
imperial_restoration_annex_cb;Imperial Reintegration;x
imperial_restoration_annex_cb_setup;$RECIPIENT$ will be annexed to us.;x
imperial_restoration_annex_cb_short;Imperial Reintegration;x
imperial_restoration_annex_cb_desc;This casus-belli annexes a country with nothing but byzantine cores.;x
chinese_unification_annex_cb_desc;This casus-belli will annex small Chinese countries with only Chinese cores;x
chinese_unification_annex_cb_setup;$RECIPIENT$ will be annexed to us;x
chinese_unification_annex_cb;Chinese Unification;x
chinese_unification_annex_cb_short;Chinese Unification;x
chinese_unification_cb;Acquire Chinese State;x
chinese_unification_cb_short;Acquire $STATE$;x
chinese_unification_cb_setup;Acquire $STATE$ from $RECIPIENT$;x
chinese_unification_cb_desc;Acquire $STATE$;x
acquire_state_america;Acquire American State;;;;;;;;;;;;;
acquire_state_america_short;Acquire $STATE$;;;;;;;;;;;;;
acquire_state_america_desc;Acquire $STATE$;;;;;;;;;;;;;
acquire_state_america_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
take_capital;Take Capital;x
take_capital_short;Take Capital;x
take_capital_desc;Take this country's capital;x
take_capital_setup;Take $RECIPIENT$'s capital;x
take_capital_america;Take American Capital;x
take_capital_america_short;Take Capital;x
take_capital_america_desc;Take this country's capital;x
take_capital_america_setup;Take $RECIPIENT$'s capital;x
roman_civil_war_cb;Roman Civil War;x
roman_civil_war_cb_short;Acquire $STATE$ from $RECIPIENT$;x
roman_civil_war_cb_desc;Acquire $STATE$.;x
roman_civil_war_cb_setup;Acquire $STATE$ from $RECIPIENT$.;x
third_party_transfer;Negotiated State Transfer (3rd Party);;;;;;;;;;;;;
third_party_transfer_desc;Transfer a state or colonial region from the 1st country to the 2nd country with no effect on infamy, prestige, or jingoism and without a truce at the end;;;;;;;;;;;;;
third_party_transfer_short;Transfer $STATE$ to an ally;;;;;;;;;;;;;
third_party_transfer_setup;Transfer $STATE$ from $RECIPIENT$ to an ally;;;;;;;;;;;;;
#############################################;;;;;;;;;;;;;;x
#State Sized CBs (Thanks Reno);;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
acquire_core_state_tiny;Acquire Tiny Core;;;;;;;;;;;
acquire_core_state_tiny_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_tiny_desc;Aquire an enemy §Ytiny state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_tiny_setup;Acquire tiny core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_small;Acquire Small Core;;;;;;;;;;;
acquire_core_state_small_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_small_desc;Aquire an enemy §Ysmall state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_small_setup;Acquire small core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_medium;Acquire Medium Core;;;;;;;;;;;
acquire_core_state_medium_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_medium_desc;Aquire an enemy §Ymedium state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_medium_setup;Acquire medium core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_large;Acquire Large Core;;;;;;;;;;;
acquire_core_state_large_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_large_desc;Aquire an enemy §Ylarge state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_large_setup;Acquire large core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_huge;Acquire Huge Core;;;;;;;;;;;
acquire_core_state_huge_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_huge_desc;Aquire an enemy §Yhuge state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_huge_setup;Acquire huge core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
demand_concession_casus_belli_china;Chinese Core Concession;;;;;;;;;;;
demand_concession_casus_belli_china_short;Demand $STATE$ from China;;;;;;;;;;;
demand_concession_casus_belli_china_desc;Force China to concede core territory.;;;;;;;;;;;
demand_concession_casus_belli_china_setup;Demand that $RECIPIENT$ cede territory.;;;;;;;;;;;
take_capital_earlygame;Take Capital Earlygame;;;;;;;;;;;
take_capital_earlygame_short;Acquire capital $STATE$.;;;;;;;;;;;
take_capital_earlygame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;
take_capital_earlygame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;
take_capital_midgame;Take Capital Midgame;;;;;;;;;;;
take_capital_midgame_short;Acquire capital $STATE$.;;;;;;;;;;;
take_capital_midgame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;
take_capital_midgame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;
take_capital_lategame;Take Capital Lategame;;;;;;;;;;;
take_capital_lategame_short;Acquire capital $STATE$.;;;;;;;;;;;
take_capital_lategame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;
take_capital_lategame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;
acquire_state_tiny;Acquire Tiny State;;;;;;;;;;;
acquire_state_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;
acquire_state_tiny_desc;Aquire an enemy §Ytiny state§W.;;;;;;;;;;;
acquire_state_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;
acquire_state_small;Acquire Small State;;;;;;;;;;;
acquire_state_small_short;Acquire Small State $STATE$.;;;;;;;;;;;
acquire_state_small_desc;Aquire an enemy §Ysmall state§W.;;;;;;;;;;;
acquire_state_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;
acquire_state_small_americas;Acquire Small State;;;;;;;;;;;
acquire_state_small_americas_short;Acquire Small State $STATE$.;;;;;;;;;;;
acquire_state_small_americas_desc;Aquire an enemy §Ysmall state§W.;;;;;;;;;;;
acquire_state_small_americas_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;
acquire_state_medium;Acquire Medium State;;;;;;;;;;;
acquire_state_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;
acquire_state_medium_desc;Aquire an enemy §Ymedium state§W.;;;;;;;;;;;
acquire_state_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;
acquire_state_large;Acquire Large State;;;;;;;;;;;
acquire_state_large_short;Acquire Large State $STATE$.;;;;;;;;;;;
acquire_state_large_desc;Aquire an enemy §Ylarge state§W.;;;;;;;;;;;
acquire_state_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;
acquire_state_huge;Acquire Huge State;;;;;;;;;;;
acquire_state_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;
acquire_state_huge_desc;Aquire an enemy §Yhuge state§W.;;;;;;;;;;;
acquire_state_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;
demand_concession_casus_belli_tiny;Tiny State Concession;;;;;;;;;;;
demand_concession_casus_belli_tiny_short;Demand Tiny State $STATE$.;;;;;;;;;;;
demand_concession_casus_belli_tiny_desc;Demand a §Ytiny state§W concession.;;;;;;;;;;;
