PROV1107;Shirvan;;;;;;;;;;;;x;;;;;;;;
PROV806;Skoupoi;;;;;;;;;;;;x;;;;;;;;
PROV817;Pyrgos;;;;;;;;;;;;x;;;;;;;;
PROV815;Philippopolis;;;;;;;;;;;;x;;;;;;;;
PROV808;Pautalia;;;;;;;;;;;;x;;;;;;;;
PROV818;Silistra;;;;;;;;;;;;x;;;;;;;;
PROV814;Odyssos;;;;;;;;;;;;x;;;;;;;;
PROV813;Tirnovo;;;;;;;;;;;;x;;;;;;;;
PROV811;Rozalia;;;;;;;;;;;;x;;;;;;;;
PROV810;Diiu;;;;;;;;;;;;x;;;;;;;;
PROV812;Nikopolis;;;;;;;;;;;;x;;;;;;;;
PROV809;Sardike;;;;;;;;;;;;x;;;;;;;;
PROV807;Vitólia;;;;;;;;;;;;x;;;;;;;;
PROV1780;Deborus;;;;;;;;;;;;x;;;;;;;;
PROV853;Argyrokastro;;;;;;;;;;;;x;;;;;;;;
PROV851;Dyrrhachion;;;;;;;;;;;;x;;;;;;;;
PROV849;Kroai;;;;;;;;;;;;x;;;;;;;;
PROV850;Lissos;;;;;;;;;;;;x;;;;;;;;
PROV852;Aulonas;;;;;;;;;;;;x;;;;;;;;
PROV104;Nova Lisboa;;;;;;;;;;;;x;;;;;;;;
PROV89;Gli Angeli;x;;;;;;;;;;;;;;;;;;;
PROV90;Santa Maria;x;;;;;;;;;;;;;;;;;;;
PROV88;Mohave;x;;;;;;;;;;;;;;;;;;;
PROV85;Castelo da Floresta;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;
PROV84;Vale Real;;;;;;;;;;;;x;;;;;;;;
PROV86;Cidadenzo;;;;;;;;;;;;x;;;;;;;;
PROV82;Grandes Pastagens;;;;;;;;;;;;;;;;;;;;x
PROV81;Novo Porto;;;;;;;;;;;;;;;;;;;;x
PROV83;Forte de Alberto;;;;;;;;;;;;;;;;;;;;x
USA_81;Douro Pacifico;x;;;;;;;;;;;;;;;;;;;
MEX_89;Gli Angeli;x;;;;;;;;;;;;;;;;;;;
ELI_104;Elisio;x;;;;;;;;;;;;;;;;;;;
USA_201;Nouveau-Montpellier;;;;;;;;;;;;;;;;;;;;
USA_2556;Beaucouple;;;;;;;;;;;;;;;;;;;;
USA_205;Beaucouple du Sud;x;;;;;;;;;;;;;;;;;;;
USA_188;Terre Cherokee;x;;;;;;;;;;;;;;;;;;;
USA_194;Nouvelle Orleans;x;;;;;;;;;;;;;;;;;;;
USA_139;Mississippi Occidentale;x;;;;;;;;;;;;;;;;;;;
USA_185;Phillipeville;x;;;;;;;;;;;;;;;;;;;
USA_218;Appalache-Nord;x;;;;;;;;;;;;;;;;;;;
USA_211;Nouveau-Bordeaux;x;;;;;;;;;;;;;;;;;;;
USA_219;Versailles Atlantique;x;;;;;;;;;;;;;;;;;;;
USA_223;Dijonnais Atlantique;x;;;;;;;;;;;;;;;;;;;
USA_231;Nieuw Armstel;x;;;;;;;;;;;;;;;;;;;
USA_243;Nieuw Brugge;x;;;;;;;;;;;;;;;;;;;
ENG_74;Vinland;x;;;;;;;;;;;;;;;;;;;
PROV659;Brasov;x;;;;;;;;;;;;;;;;;;;
PROV657;Sibiu;x;;;;;;;;;;;;;;;;;;;
PROV655;Brad;x;;;;;;;;;;;;;;;;;;;
PROV661;Satu Mare;x;;;;;;;;;;;;;;;;;;;
PROV304;Mannin;;;;;;;;;;;;;;;;;;;;
PROV265;Loch Garman;;;;;;;;;;;;;;;;;;;;
PROV264;Cill Dara;;;;;;;;;;;;;;;;;;;;
PROV263;Dubh Linn;;;;;;;;;;;;;;;;;;;;
PROV262;Port Lairge;;;;;;;;;;;;;;;;;;;;
PROV261;Luimneach;;;;;;;;;;;;;;;;;;;;
PROV260;Corcaigh;;;;;;;;;;;;;;;;;;;;
PROV259;Sligeach;;;;;;;;;;;;;;;;;;;;
PROV258;Dun Bhun na Gaillimhe;;;;;;;;;;;;;;;;;;;;
PROV257;Dun na nGall;;;;;;;;;;;;;;;;;;;;
PROV255;Daire;;;;;;;;;;;;;;;;;;;;
PROV254;Beal Feirsde;;;;;;;;;;;;;;;;;;;;
PROV273;Caerdydd;;;;;;;;;;;;;;;;;;;;
PROV274;Aberteifi;;;;;;;;;;;;;;;;;;;;
PROV276;Caergybi;;;;;;;;;;;;;;;;;;;;
PROV299;Isca Dumnoniorum;;;;;;;;;;;;;;;;;;;;
PROV297;Sorbiodunum;;;;;;;;;;;;;;;;;;;;
PROV303;Clausentum;;;;;;;;;;;;;;;;;;;;
PROV302;Noviomagus;;;;;;;;;;;;;;;;;;;;
PROV301;Durovemum;;;;;;;;;;;;;;;;;;;;
PROV285;Deva;;;;;;;;;;;;;;;;;;;;
PROV278;Mamucium;;;;;;;;;;;;;;;;;;;;
PROV284;Letocetum;;;;;;;;;;;;;;;;;;;;
PROV289;Ratea;;;;;;;;;;;;;;;;;;;;
PROV287;Vennonae;;;;;;;;;;;;;;;;;;;;
PROV283;Brigantius;;;;;;;;;;;;;;;;;;;;
PROV277;Learpholl;;;;;;;;;;;;;;;;;;;;
PROV279;Cathair Luail;;;;;;;;;;;;;;;;;;;;
PROV280;Caislean Nua;;;;;;;;;;;;;;;;;;;;
PROV286;Amwythig;;;;;;;;;;;;;;;;;;;;
PROV296;Brycg stowe;;;;;;;;;;;;;;;;;;;;
PROV294;Oxnaforda;;;;;;;;;;;;;;;;;;;;
PROV272;Dun Phris;;;;;;;;;;;;;;;;;;;;
PROV271;Glaschu;;;;;;;;;;;;;;;;;;;;
PROV270;Sruighlea;;;;;;;;;;;;;;;;;;;;
PROV269;Dun Eideann;;;;;;;;;;;;;;;;;;;;
PROV268;Dun De;;;;;;;;;;;;;;;;;;;;
PROV267;Inbhir Nis;;;;;;;;;;;;;;;;;;;;
PROV266;Aberdon;;;;;;;;;;;;;;;;;;;;
PROV1724;lNa h-Eileanan a Tuath;;;;;;;;;;;;;;;;;;;;
PROV419;Oileain Mhuir nIocht;;;;;;;;;;;;;;;;;;;;
PROV421;Sant-Briegon;;;;;;;;;;;;;;;;;;;;
PROV424;Roazhon;;;;;;;;;;;;;;;;;;;;
PROV422;Gwened;;;;;;;;;;;;;;;;;;;;
PROV388;Brugge;;;;;;;;;;;;;;;;;;;;
PROV389;Gent;;;;;;;;;;;;;;;;;;;;
PROV390;Antwerpen;;;;;;;;;;;;;;;;;;;;
PROV387;Brussel;;;;;;;;;;;;;;;;;;;;
PROV393;Doornik;;;;;;;;;;;;;;;;;;;;
PROV392;Namen;;;;;;;;;;;;;;;;;;;;
PROV394;Bregen;;;;;;;;;;;;;;;;;;;;
PROV381;Maastricht;;;;;;;;;;;;;;;;;;;;
PROV398;Aarlen;;;;;;;;;;;;;;;;;;;;
PROV395;Luik;;;;;;;;;;;;;;;;;;;;
PROV696;Olsztyn;;;;;;;;;;;;;;;;;;;;
PROV693;Elblag;;;;;;;;;;;;;;;;;;;;
PROV685;Katowice;;;;;;;;;;;;;;;;;;;;
PROV684;Opole;;;;;;;;;;;;;;;;;;;;
PROV688;Opava;;;;;;;;;;;;;;;;;;;;
PROV689;Cieszyn;;;;;;;;;;;;;;;;;;;;
PROV632;Olomouc;;;;;;;;;;;;;;;;;;;;
PROV625;Praha;;;;;;;;;;;;;;;;;;;;
PROV628;Usti nad Labem;;;;;;;;;;;;;;;;;;;;
