From;To;Type;Through;Data;Comment
#
# American Straits
#
13;14;sea;3011;0;Vancouver Crossing
14;78;sea;3011;0;Vancouver Crossing
62;75;sea;2946;0;Straits of Belle Isle
68;70;sea;2944;0;Cabot Strait
2237;2269;sea;2975;0;Strait of Trinidad
2233;2409;sea;2975;0;
2409;2231;sea;2975;0;
2231;2228;sea;2976;0;
2228;2232;sea;2976;0;
2232;2230;sea;2976;0;
2230;2225;sea;2976;0;
2225;2227;sea;2976;0;
2227;3246;sea;2976;0;
3246;45;sea;2976;0;
3246;2236;sea;2976;0;
2224;2225;sea;2976;0;
45;2226;sea;2976;0;
2226;2223;sea;2976;0;
2223;2222;sea;2976;0;
2334;2335;sea;2992;0;Strait of Magellan
2399;2400;sea;2992;0;Strait of Magellan
77;74;sea;2944;0;Cabot Strait
72;73;sea;2944;0;Nova Scotia to Cape Breton
2237;2238;sea;2975;0;Trinidad-Tobago Strait
2233;2409;sea;2975;0;Grenada-St. Vincent Strait
2229;2409;sea;2975;0;Barbados-St. Vincent Strait
2231;2409;sea;2975;0;St. Lucia-St. Vincent Strait
#2231;2228;sea;2976;0;St. Lucia-Martinique Strait - STOP IT UK
#2232;2228;sea;2976;0;Dominica-Martinique Strait - STOP IT UK
#2232;2230;sea;2976;0;Dominica-Guadeloupe Strait - STOP IT UK
#2225;2230;sea;2976;0;Montserrat-Guadeloupe Strait - STOP IT UK
2225;2224;sea;2976;0;Montserrat-Antigua Strait
2225;2227;sea;2976;0;Montserrat-St. Kitts Strait
2236;3246;sea;2976;0;St. Martin-St. Barths Strait
2227;3246;sea;2976;0;St. Kitts-St. Barths Strait
2223;2226;sea;2976;0;St. Thomas-Tortola Strait
2226;2222;sea;2976;0;Puerto Rico-Tortola Strait
2219;2220;sea;2977;0;Bahamas-Turks & Caicos Strait
2204;2206;sea;3001;0;Panama strait
5;4;sea;3134;0;Aleutian Island-Dutch Harbor Strait

#
# African Straits
#
2036;2048;sea;2901;0;Zanzibar Strait
2123;2124;sea;2902;0;Comoros-Mayotte
1772;1756;sea;2781;0;Suez strait

#
# European Straits
#
254;271;sea;2737;0;Irish Strait
324;348;sea;2706;0;Aland Strait #Uppsala to Aland #these were in V1
334;372;sea;3333;0;�resund
335;374;sea;2710;0;Bornholmsf�rjan
348;345;sea;2706;0;Aland Strait #Aland to Turku
353;349;sea;2709;0;�selsund
353;358;sea;2709;0;Strait of Riga
372;373;sea;3333;0;Fyn-Sjaelland
366;373;sea;3333;0;Fyn-Jylland
2557;373;sea;3333;0;Fyn-Esbjerg
375;385;sea;2722;0;Bay of Holland
473;766;sea;2751;0;Sassari Strait
826;824;sea;2764;0;Corfu Strait
826;853;sea;2764;0;Corfu Strait
838;845;sea;2772;0;Cyclades Strait
838;834;sea;2772;0;Athens - Khakhis Strait
843;869;sea;2772;0;Izmir Strait
860;861;land;2773;0;Golden Horn
104;85;land;3009;0;Hasan Piker Strait
859;865;sea;2773;0;Dardanelles Strait
759;763;sea;2760;0;Strait of Messina
759;763;sea;2757;0;Strait of Messina
837;827;sea;2765;0;Ionian Islands Strait
966;1049;sea;2776;0;Strait of Azov
512;1686;sea;2746;0;Strait of Gibraltar - Cadiz to Tangiers
331;332;sea;2710;0;Gotland Strait
374;335;sea;2710;0;Bornholm Strait
846;872;sea;2771;0;Dodecanese Strait
844;865;sea;2772;0;Myteline Strait
271;304;sea;2737;0;Irish Strait
254;304;sea;2737;0;Irish Strait
267;1724;sea;2735;0;Inverness - Orkney Strait
780;782;land;2762;0;Mostar Bay
1981;745;land;2751;0;Elba to Livorno
690;695;land;2710;0;Konigsberg to Danzig 

#
# Asian Straits
#
1412;1875;sea;2783;0;Aden to Djibuti 
1540;1538;sea;2826;0;Nantong - Shanghai through the Yantze River
1540;1539;sea;2826;0;Nantong - Suzhou through the Yantze River
1541;1539;sea;2826;0;Tongzhou - Suzhou through the Yantze River
