#############################################;;;;;;;;;;;;;;x
#Additional Inventions;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
total_war_theory;Total War Theory;;;;;;;;;;;;;;;;;;;;x
#################Naval rework IGoRS puir 9.0 Inventions#############################;;;;;;;;;;;;;;x
68_pounder_carronade;68 Pounder Carronade;;;;;;;;;;;;;;;;;;;;x
iron_fixings;Iron Fixings;;;;;;;;;;;;;;;;;;;;x
iron_straps;Iron Straps;;;;;;;;;;;;;;;;;;;;x
full_iron_hull;Full Iron Hull;;;;;;;;;;;;;;;;;;;;x
hull_testing;Hull Testing;;;;;;;;;;;;;;;;;;;;x
experimental_iron_hull;Experimental Iron Hull;;;;;;;;;;;;;;;;;;;;x
modern_cruisers_formations;Modern Cruisers Formations;;;;;;;;;;;;;;;;;;;;x
convoy_sailing_organisation;Convoy Sailing Organisation;;;;;;;;;;;;;;;;;;;;x
improved_cruiser_turrets;Improved Cruiser Turrets;;;;;;;;;;;;;;;;;;;;x
advanced_battleship_turrets;Advanced Battleship Turrets;;;;;;;;;;;;;;;;;;;;x
modern_cruiser_turrets;Modern Cruiser Turrets;;;;;;;;;;;;;;;;;;;;x
modern_battleship_turrets;Modern Battleship Turrets;;;;;;;;;;;;;;;;;;;;x
advanced_battleships_hull;Advanced Battleships Hull;;;;;;;;;;;;;;;;;;;;x
modern_battleships_hull;Modern Battleships Hull;;;;;;;;;;;;;;;;;;;;x
advanced_cruiser_hull;Advanced Cruiser Hull;;;;;;;;;;;;;;;;;;;;x
modern_cruiser_hull;Modern Cruiser Hull;;;;;;;;;;;;;;;;;;;;x
convoy_protection;Convoy Protection;;;;;;;;;;;;;;;;;;;;x
modern_cruiser_formations;Modern Cruiser Formations;;;;;;;;;;;;;;;;;;;;x
convoy_sailing_formations;Convoy Sailing Formations;;;;;;;;;;;;;;;;;;;;x
modern_battleships_formations;Modern Battleship Formations;;;;;;;;;;;;;;;;;;;;x
advanced_battleships_turbine;Advanced Battleships Turbine;;;;;;;;;;;;;;;;;;;;x
advanced_cruiser_turbine;Advanced Cruiser Turbine;;;;;;;;;;;;;;;;;;;;x
modern_destroyer_hull;Modern Destroyer Hull;;;;;;;;;;;;;;;;;;;;x
advanced_fire_control;Modern Fire Control;;;;;;;;;;;;;;;;;;;;x
};Torpedo Training School;;;;;;;;;;;;;;;;;;;;x
global_transportation;Global Transportation;;;;;;;;;;;;;;;;;;;;x
improved_global_transportation;Improved Global Transportation;;;;;;;;;;;;;;;;;;;;x
advanced_global_transportation;Advanced Global Transportation;;;;;;;;;;;;;;;;;;;;x
modern_global_transportation;Modern Global Transportation;;;;;;;;;;;;;;;;;;;;x
Outdated_ship_design_I;Outdated Ship Design I;;;;;;;;;;;;;;;;;;;;x
Outdated_ship_design_II;Outdated Ship Design II;;;;;;;;;;;;;;;;;;;;x
Outdated_ship_design_III;Outdated Ship Design III;;;;;;;;;;;;;;;;;;;;x
Outdated_ship_design_IV;Outdated Ship Design IV;;;;;;;;;;;;;;;;;;;;x
Outdated_ship_design_V;Outdated Ship Design V;;;;;;;;;;;;;;;;;;;;x
damage_reports;Damage Reports;;;;;;;;;;;;;;;;;;;;x
#################Naval rework Igor puir 9.0 Units#############################;;;;;;;;;;;;;;x
dreadnought;Battleship;;;;;;;;;;;;;x
battleship;Heavy Cruiser;;;;;;;;;;;;;x
cruiser;Light Cruiser;;;;;;;;;;;;;x
monitor;Destroyer;;;;;;;;;;;;;x
dreadnoughts;Battleship;;;;;;;;;;;;;;;;;;;;x
pre_dreadnought;Heavy Cruiser;;;;;;;;;;;;;;;;;;;;x
protected_cruisers;Light Cruiser;;;;;;;;;;;;;;;;;;;;x
monitors;Destroyer;;;;;;;;;;;;;;;;;;;;x
